QID,name_x,Unnamed: 2,best_match,name
Q5152058,CommVault Systems,,Formula Systems,
Q108672557,CSN Mineracao,,CSN Mineração,
Q263700,Turk Telekom,,Türk Telekom,
Q368181,Vornado Realty Trust,,Vornado Realty Trust,
Q144617,TIM Group,,TMX Group,
Q7333751,Rightmove,,Rightmove,
Q586260,Sojitz,,Soitec,
Q16979157,PBF Energy,,PBF Energy,
Q1605646,Mytilineos,,Mytilineos,
Q5375992,Endeavour Mining,,Endeavour Mining,
Q3973262,Stericycle,,Stericycle,
Q7084595,Old National Bank,,Old National Bank,
Q17997679,Adaro Energy,,Adaro Energy,
Q1192667,Rohm,,Rohm,
Q17077936,Lyft,,Lyft,
Q2004304,Bank of Maharashtra,,Bank of Maharashtra,
Q63993524,Playdate,,Playtech,
Q55632076,Rubrik,,Rubrik,
Q1816543,Fresnillo,,Fresnillo,
Q936040,Yakult,,Yakult,
Q878404,Fuchs Petrolub SE,,Fuchs Petrolub,
Q4950583,Bovis Homes Group,,United Homes Group,
Q7912506,Valmont Industries,,Valmont Industries,
Q28226309,Merlin Properties,,Merlin Properties,
Q1825763,Lincoln National Corporation,,Lincoln National Corporation,
Q110016619,BAWAG Group AG,,BAWAG Group,
Q3246596,Bumrungrad Hospital,,Bumrungrad Hospital,
Q1653679,IHI Corporation,,IHI Corporation,
Q2009139,Oberbank,,Oberbank,
Q106240810,"SiteOne Landscape Supply, Inc.",,SiteOne Landscape Supply,
Q667505,Clariant,,Clariant,
Q459957,Ambu,,Ambu,
Q1136056,Tofa?,,Tomra,
Q4698062,Air Lease,,Astera Labs,
Q706198,Taiwan High Speed Rail,,Taiwan High Speed Rail,
Q5184408,Crescent Point Energy,,Crescent Point Energy,
Q4748528,Ampol,,Ampol,
Q2044983,Federal Bank,,Federal Bank,
Q217667,Elis,,Elis,
Q1197161,Valmet,,Valmet,
Q7268802,Qualys,,Qualys,
Q5045738,Carpenter Technology Corporation,,Carpenter Technology,
Q7687803,Tata Elxsi,,Tata Elxsi,
Q96472523,Charoen Pokphand Indonesia,,Charoen Pokphand Indonesia,
Q17058554,United Tractors,,United Tractors,
Q632030,Emmi AG,,Emmi AG,
Q2205903,SFS Group,,SFS Group,
Q23807959,Mr. Cooper,,Mr. Cooper Group,
Q2040151,Vopak,,Vopak,
Q10293878,Hapvida,,Hapvida,
Q141644,Nexans,,Nexans,
Q498120,The Stepstone Group,,StepStone Group,
Q7410186,Sampoerna,,Sampoerna,
Q857015,Bidvest Group,,The Bidvest Group,
Q3100507,GPT Group,,GPT Group,
Q6458611,LIC Housing Finance,,LIC Housing Finance,
Q5616988,Gujarat Gas Limited,,Gujarat Gas,
Q16984687,SM Energy,,SM Energy,
Q21178908,National Storage,,National Storage,
Q12179266,Hikma Pharmaceuticals,,Hikma Pharmaceuticals,
Q3377840,Sweco,,Sweco,
Q109979847,Adani Wilmar,,Adani Wilmar,
Q1272525,Li-Ning Company Limited,,Li Ning Company,
Q27907429,Darktrace,,Darktrace,
Q487694,Biocon,,Biocon,
Q64174304,Gaztransport & Technigaz,,Gaztransport & Technigaz,
Q25103691,Entain,,Entain,
Q18386006,Page Industries,,Page Industries,
Q2393592,Indosat Ooredoo Hutchison,,,
Q1400073,Federal Signal Corporation,,Universal Robina Corporation,
Q114820617,Cadence Bancorporation,,Cadence Bancorp,
Q811857,Bausch & Lomb,,Bausch + Lomb,
Q1053372,Cencosud,,Cencosud,
Q124054377,Rithm Capital,,Rithm Capital,
