id,contour,is_actual,name,notes,interest_object_type_id,registration_date,update_date,creator,last_updater,markers,image_name,redmine_issue_ids,secret_level_id,start_date,end_date,avatar_document_uuid,status
9221385,ОК,True,Швеция,,1367,1701442665,1723249643,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
440894,ОК,True,Турция,,1367,1689604236,1723469846,0db8e6a8-fe86-41cb-a1aa-cc6a70470e79,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
176433,ОК,True,Перу,,1367,1676370037,1723471229,bbeaa692-5ebb-4bc0-9bcc-112b69b17254,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,"[""\u0422\u0435\u0441\u0442""]",,[],1,,,,approved
55107257,ОК,True,Аландские острова,,1367,1719239098,1722919985,c91498ca-cb9e-496c-a4d6-ab00ffd80ba6,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': 'd963/639e/AX - Aland Islands.png'}",[],1,,,,approved
9114203,ОК,True,Бурунди,,1367,1701351769,1723234510,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
8252958,ОК,True,Танзания,,1367,1701096702,1723234510,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
59957355,ОК,True,Jersey,,1367,1720145772,1722928192,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55044189,ОК,True,Швейцария,,1367,1718799833,1723471180,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': '737a/590f/CH - Switzerland.png'}",[],1,,,737a590f-3c0e-4b20-84ea-7602a4671e9c,approved
9216892,ОК,True,Афганистан,,1367,1701440999,1723461838,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
208658,ОК,True,Польша,,1367,1681727405,1723470257,303b06ea-80e6-42f1-a24d-786edaf4e256,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
212118,ОК,True,Германия,,1367,1681911729,1723470611,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
931541,ОК,True,Бруней,,1367,1695807381,1723242715,777150f7-84cb-4d14-a9af-ebdbfe5157b7,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
4417058,ОК,True,Босния и Герцеговина,,1367,1699915072,1723235637,7011b257-891d-40ef-9b04-c39775c74174,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55043987,ОК,True,Словакия,,1367,1718799804,1723461394,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
440888,ОК,True,ЮАР,,1367,1689604150,1723471122,0db8e6a8-fe86-41cb-a1aa-cc6a70470e79,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
8240317,ОК,True,Ниуэ,,1367,1701091907,1723242715,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226034,ОК,True,Antarctica,,1367,1684738167,1722927062,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55043936,ОК,True,Багамские Острова,,1367,1718799788,1723197955,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': '41db/ed2a/BS - Bahamas.png'}",[],1,,,41dbed2a-f277-4cff-84ba-ac11e77f56b7,approved
226573,ОК,True,Кувейт,,1367,1684738957,1723329455,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55107250,ОК,True,Американское Самоа,,1367,1719238934,1723204811,c91498ca-cb9e-496c-a4d6-ab00ffd80ba6,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': 'f43c/7358/AS - American Samoa.png'}",[],1,,,,approved
9111583,ОК,True,Вануату,,1367,1701349404,1723220869,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55107211,ОК,True,Бенин,,1367,1719236629,1723219994,c91498ca-cb9e-496c-a4d6-ab00ffd80ba6,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': 'aa7e/5bc1/BJ - Benin.png'}",[],1,,,,approved
8243109,ОК,True,Кабо-Верде,,1367,1701093010,1723231273,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55107255,ОК,True,Белиз,,1367,1719239065,1723014974,c91498ca-cb9e-496c-a4d6-ab00ffd80ba6,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': 'ad92/2de5/BZ - Belize.png'}",[],1,,,,approved
55107209,ОК,True,Антигуа и Барбуда,,1367,1719236579,1723221429,c91498ca-cb9e-496c-a4d6-ab00ffd80ba6,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': '3005/2b85/AG - Antigua and Barbuda.png'}",[],1,,,,approved
226521,ОК,True,Ямайка,,1367,1684738895,1723222594,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
10034513,ОК,True,Исландия,,1367,1701935865,1723469844,777150f7-84cb-4d14-a9af-ebdbfe5157b7,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55043958,ОК,True,Мальта,,1367,1718799791,1723248573,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
55044014,ОК,True,Лихтенштейн,,1367,1718799818,1723469844,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226196,ОК,True,Chile,,1367,1684738404,1723416126,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
